round,bot1,bot2,score1,score2,apple1,apple2,time
518,1,2,0,1,7,5,22.79
519,1,2,0,1,1,3,7.314
520,1,2,0,1,3,4,18.774
521,1,2,0,1,5,12,39.809
522,1,2,0,1,0,5,15.38
523,1,2,0,1,14,18,59.916
524,1,2,0,1,9,11,53.86
525,1,2,1,0,11,10,41.97
526,1,2,0,1,5,4,17.171
527,1,2,0,1,4,4,21.798
528,1,2,0,1,11,12,42.539
529,1,2,0,1,3,3,11.112
530,1,2,0,1,15,13,66.509
531,1,2,0,1,8,9,41.765
532,1,2,0,1,6,9,19.994
533,1,2,1,0,1,0,3.068
534,1,2,0,1,3,5,18.975
535,1,2,1,0,5,9,36.302
536,1,2,0,1,7,14,41.782
537,1,2,0,1,4,18,47.006
538,1,2,0,1,5,13,37.122
539,1,2,0,1,5,7,28.663
540,1,2,0,1,9,15,52.521
541,1,2,0,1,4,1,6.91
542,1,2,0,1,3,4,15.177
543,1,2,0,1,11,18,54.68
544,1,2,0,1,8,11,45.599
545,1,2,0,1,4,12,37.982
546,1,2,0,1,13,4,30.069
547,1,2,0,1,5,5,20.773
548,1,2,1,0,7,2,18.152
549,1,2,0,1,12,15,66.571
550,1,2,0,1,5,9,30.502
551,1,2,0,1,2,7,22.6
552,1,2,0,1,26,22,88.561
553,1,2,0,1,5,15,41.184
554,1,2,1,0,1,3,7.116
555,1,2,0,1,4,10,32.934
556,1,2,0,1,16,11,60.499
557,1,2,0,1,1,9,27.49
558,1,2,0,1,5,2,11.727
559,1,2,1,0,6,6,21.015
560,1,2,0,1,8,7,28.264
561,1,2,0,1,4,5,20.609
562,1,2,0,1,7,11,35.537
563,1,2,1,0,3,4,16.161
564,1,2,0,1,9,4,28.898
565,1,2,0,1,9,18,52.88
566,1,2,1,0,2,1,8.712
567,1,2,0,1,18,10,57.042
568,1,2,1,0,1,1,4.677
569,1,2,0,1,10,15,57.521
570,1,2,0,1,8,12,52.303
571,1,2,0,1,11,6,34.001
572,1,2,0,1,8,13,45.271
573,1,2,0,1,5,4,18.788
574,1,2,0,1,12,18,59.913
575,1,2,1,0,23,17,80.692
576,1,2,0,1,3,4,20.004
577,1,2,0,1,6,17,48.387
578,1,2,1,0,4,11,31.872
579,1,2,0,1,13,23,75.29
580,1,2,0,1,9,8,31.526
581,1,2,0,1,4,7,23.208
582,1,2,1,0,0,4,7.324
583,1,2,1,0,6,5,19.628
584,1,2,1,0,5,4,19.799
585,1,2,0,0,1,1,3.47
586,1,2,0,1,2,4,9.107
587,1,2,0,1,9,10,43.163
588,1,2,0,1,1,6,10.738
589,1,2,0,1,11,13,45.741
590,1,2,0,1,8,12,42.536
591,1,2,0,1,7,14,47.229
592,1,2,0,1,7,15,35.384
593,1,2,0,1,12,13,45.658
594,1,2,0,1,6,4,32.468
595,1,2,0,1,15,16,52.504
596,1,2,0,1,10,14,46.203
597,1,2,0,1,6,9,34.894
598,1,2,0,1,11,12,44.556
599,1,2,0,1,14,15,44.613
600,1,2,0,1,5,4,25.026
601,1,2,0,0,3,3,14.938
602,1,2,0,1,17,17,77.755
603,1,2,1,0,1,0,3.289
604,1,2,0,1,15,13,48.03
605,1,2,0,1,9,15,45.672
606,1,2,0,1,5,11,27.091
607,1,2,0,1,0,9,15.764
608,1,2,0,1,6,7,23.769
609,1,2,0,1,10,6,26.477
610,1,2,1,0,12,15,53.382
611,1,2,0,1,7,20,60.085
612,1,2,0,1,1,2,6.294
613,1,2,0,1,2,2,13.76
614,1,2,0,1,8,5,25.021
615,1,2,0,1,5,13,39.129
616,1,2,1,0,9,11,37.383
617,1,2,0,1,11,14,35.75
618,1,2,0,1,9,12,45.179
619,1,2,0,1,9,14,45.398
620,1,2,0,1,14,8,38.762
621,1,2,0,1,4,1,11.119
622,1,2,0,1,9,15,50.442
623,1,2,0,1,13,10,43.838
624,1,2,1,0,4,0,14.17
625,1,2,0,1,3,11,39.371
626,1,2,0,1,7,13,31.894
627,1,2,0,1,5,7,19.604
628,1,2,0,1,6,12,24.228
629,1,2,0,1,5,9,23.597
630,1,2,0,1,4,8,22.022
631,1,2,1,0,7,11,34.082
632,1,2,1,0,4,5,16.773
633,1,2,0,1,7,11,27.285
634,1,2,1,0,7,11,31.662
635,1,2,0,1,1,3,8.114
636,1,2,1,0,6,8,24.019
637,1,2,0,1,10,11,49.844
638,1,2,0,1,7,8,28.903
639,1,2,0,1,12,16,59.515
640,1,2,0,1,3,10,26.054
641,1,2,0,1,3,10,21.035
642,1,2,0,1,1,8,23.611
643,1,2,0,1,5,13,29.89
644,1,2,0,1,6,7,28.26
645,1,2,0,1,9,20,64.728
646,1,2,1,0,5,2,15.989
647,1,2,0,1,3,3,13.981
648,1,2,0,1,8,16,47.56
649,1,2,0,1,5,14,34.896
650,1,2,0,1,4,4,17.139
651,1,2,0,1,13,18,56.541
652,1,2,0,1,7,23,61.912
653,1,2,0,1,10,13,43.988
654,1,2,0,1,2,11,23.604
655,1,2,0,1,8,18,48.218
656,1,2,0,1,7,2,18.184
657,1,2,0,1,14,21,60.126
658,1,2,1,0,9,18,49.481
659,1,2,0,1,8,11,40.182
660,1,2,0,1,15,11,53.119
661,1,2,0,1,11,11,35.141
662,1,2,0,1,7,8,22.047
663,1,2,0,1,9,17,64.757
664,1,2,1,0,5,0,13.562
665,1,2,0,1,10,14,52.076
666,1,2,0,1,2,12,26.431
667,1,2,1,0,14,11,49.655
668,1,2,0,1,7,16,41.32
669,1,2,0,1,8,16,46.654
670,1,2,0,1,7,15,37.764
671,1,2,0,1,0,3,5.27
672,1,2,0,1,5,9,27.887
673,1,2,0,1,1,5,8.934
674,1,2,0,1,17,17,53.097
675,1,2,0,1,4,10,44.262
676,1,2,0,1,2,5,10.546
677,1,2,1,0,12,13,40.766
678,1,2,0,1,11,15,54.126
679,1,2,0,1,11,22,76.088
680,1,2,0,1,2,8,30.141
681,1,2,0,1,2,6,23.613
682,1,2,0,1,10,15,48.298
683,1,2,0,1,13,11,45.584
684,1,2,0,1,5,13,39.633
685,1,2,0,1,8,16,56.145
686,1,2,0,1,6,12,29.864
687,1,2,0,1,8,11,34.27
