round,bot1,bot2,score1,score2,apple1,apple2,time
207,1,2,0,0,1,1,2.842
208,1,2,0,1,4,3,8.871
209,1,2,0,1,5,3,24.401
210,1,2,1,0,8,14,61.695
211,1,2,1,0,8,3,18.367
212,1,2,1,0,4,2,13.322
213,1,2,1,0,13,7,33.256
214,1,2,1,0,6,5,19.155
215,1,2,1,0,5,2,14.941
216,1,2,0,1,7,0,15.141
217,1,2,0,1,11,3,26.832
218,1,2,1,0,9,6,27.617
219,1,2,1,0,7,5,19.949
220,1,2,0,1,2,1,7.69
221,1,2,1,0,12,9,44.788
222,1,2,0,1,4,4,17.572
223,1,2,0,1,2,3,5.071
224,1,2,1,0,13,7,36.514
225,1,2,1,0,2,1,3.862
226,1,2,0,1,14,15,51.606
227,1,2,0,1,5,7,15.732
228,1,2,1,0,7,5,30.227
229,1,2,1,0,15,13,51.616
230,1,2,1,0,13,6,44.531
231,1,2,1,0,9,4,22.828
232,1,2,1,0,5,4,19.152
233,1,2,1,0,4,2,14.725
234,1,2,1,0,23,14,80.7
235,1,2,1,0,6,3,12.302
236,1,2,0,1,8,7,25.986
237,1,2,1,0,12,5,30.194
238,1,2,0,1,5,1,15.974
239,1,2,0,1,4,6,21.774
240,1,2,1,0,12,11,45.078
241,1,2,1,0,11,7,28.879
242,1,2,0,1,2,1,6.049
243,1,2,1,0,7,9,31.306
244,1,2,1,0,11,11,29.078
245,1,2,0,1,7,8,19.976
246,1,2,1,0,6,3,20.601
247,1,2,1,0,16,13,53.002
248,1,2,1,0,3,2,5.264
249,1,2,1,0,10,7,31.289
250,1,2,1,0,8,3,28.804
251,1,2,1,0,9,5,34.502
252,1,2,1,0,20,15,55.058
253,1,2,0,1,7,2,18.393
254,1,2,1,0,10,5,36.74
255,1,2,1,0,8,2,29.682
256,1,2,0,0,4,4,14.92
257,1,2,1,0,11,6,34.896
258,1,2,1,0,4,2,14.145
259,1,2,1,0,2,1,3.443
260,1,2,1,0,11,2,26.361
261,1,2,1,0,11,3,24.596
262,1,2,1,0,12,10,35.083
263,1,2,1,0,20,11,46.14
264,1,2,1,0,15,11,59.542
265,1,2,0,1,6,0,8.283
266,1,2,1,0,14,5,38.292
267,1,2,1,0,6,6,18.577
268,1,2,0,1,8,11,59.713
269,1,2,1,0,10,2,20.968
270,1,2,1,0,15,9,59.585
271,1,2,1,0,7,7,25.831
272,1,2,0,1,10,13,33.102
273,1,2,0,1,11,14,38.485
274,1,2,0,1,1,2,6.868
275,1,2,1,0,15,10,42.275
276,1,2,0,1,20,14,52.806
277,1,2,1,0,9,10,48.18
278,1,2,1,0,10,10,35.063
279,1,2,0,1,4,2,9.278
280,1,2,0,1,2,3,7.682
281,1,2,1,0,14,10,52.376
282,1,2,0,0,5,5,17.592
283,1,2,0,1,9,2,26.996
284,1,2,0,1,1,2,9.875
285,1,2,1,0,16,7,41.768
286,1,2,0,1,3,7,18.162
287,1,2,1,0,12,13,48.864
288,1,2,0,1,5,6,19.778
289,1,2,1,0,9,5,29.633
290,1,2,1,0,11,12,39.782
291,1,2,1,0,7,5,29.044
292,1,2,1,0,7,4,22.205
293,1,2,0,1,12,14,50.982
294,1,2,1,0,7,8,23.033
295,1,2,1,0,11,6,31.866
296,1,2,0,1,2,1,6.858
297,1,2,1,0,5,1,7.906
298,1,2,1,0,17,4,34.076
299,1,2,0,1,3,4,12.699
300,1,2,0,0,6,6,25.436
301,1,2,1,0,9,7,25.639
302,1,2,0,1,2,3,9.079
303,1,2,0,0,3,3,13.722
304,1,2,1,0,3,0,6.099
305,1,2,0,1,6,6,24.824
306,1,2,1,0,18,6,47.831
307,1,2,1,0,8,9,44.016
308,1,2,1,0,7,4,16.203
309,1,2,1,0,4,4,18.347
310,1,2,0,1,5,4,15.349
311,1,2,1,0,11,7,25.411
312,1,2,1,0,12,10,33.14
313,1,2,1,0,19,9,56.919
314,1,2,1,0,4,2,8.904
315,1,2,0,0,8,8,38.946
316,1,2,1,0,2,1,7.47
317,1,2,1,0,11,12,33.093
318,1,2,1,0,5,7,21.794
319,1,2,1,0,9,4,24.188
320,1,2,1,0,7,10,28.889
321,1,2,1,0,14,19,57.341
322,1,2,1,0,4,3,10.286
323,1,2,1,0,2,1,3.841
324,1,2,1,0,11,6,41.582
325,1,2,1,0,17,7,45.312
326,1,2,0,1,4,0,9.913
327,1,2,0,1,10,15,51.421
328,1,2,1,0,7,7,33.15
329,1,2,1,0,18,10,52.881
330,1,2,1,0,10,3,21.776
331,1,2,1,0,5,8,24.403
332,1,2,0,1,6,2,17.568
333,1,2,1,0,6,10,39.372
334,1,2,0,1,0,1,6.877
335,1,2,1,0,21,13,60.886
336,1,2,1,0,14,11,48.556
337,1,2,1,0,3,1,10.088
338,1,2,1,0,11,10,34.515
339,1,2,0,1,2,6,15.089
340,1,2,1,0,20,12,64.97
341,1,2,1,0,9,7,28.45
342,1,2,1,0,7,4,18.173
343,1,2,1,0,18,16,60.951
344,1,2,1,0,12,11,42.609
345,1,2,1,0,8,16,52.584
346,1,2,1,0,16,8,41.575
347,1,2,0,1,2,0,4.867
348,1,2,1,0,7,4,17.948
349,1,2,1,0,12,7,38.514
350,1,2,1,0,22,19,79.202
351,1,2,0,1,5,2,14.088
352,1,2,1,0,16,12,72.276
353,1,2,0,0,1,1,3.447
354,1,2,1,0,20,14,68.608
355,1,2,1,0,7,2,20.168
356,1,2,1,0,7,4,18.349
357,1,2,0,1,10,8,38.504
358,1,2,1,0,2,1,5.273
359,1,2,1,0,10,9,33.671
360,1,2,1,0,5,6,15.537
361,1,2,1,0,11,10,33.637
362,1,2,1,0,10,7,31.456
363,1,2,1,0,9,11,47.001
364,1,2,1,0,3,5,18.14
365,1,2,1,0,15,13,58.876
366,1,2,1,0,12,9,48.179
367,1,2,1,0,17,14,61.286
368,1,2,0,1,4,6,15.365
369,1,2,1,0,13,3,29.064
370,1,2,0,1,2,3,4.648
371,1,2,0,1,2,4,11.717
372,1,2,1,0,10,8,34.349
373,1,2,1,0,11,10,51.248
374,1,2,1,0,7,3,21.828
375,1,2,0,1,6,9,32.445
376,1,2,1,0,10,7,28.432
377,1,2,0,1,4,5,18.18
378,1,2,0,1,16,13,63.116
379,1,2,1,0,5,4,29.033
380,1,2,1,0,7,4,32.47
381,1,2,1,0,6,4,19.385
382,1,2,0,1,7,2,21.204
383,1,2,0,1,2,3,8.497
384,1,2,0,1,13,14,49.837
385,1,2,1,0,4,4,11.097
386,1,2,0,0,1,1,3.244
387,1,2,0,1,2,2,5.453
388,1,2,1,0,10,8,32.421
389,1,2,0,1,1,6,18.592
390,1,2,1,0,4,6,18.381
391,1,2,0,1,5,7,25.415
392,1,2,1,0,20,11,60.901
393,1,2,0,1,8,8,29.87
394,1,2,0,1,5,2,13.95
395,1,2,1,0,6,5,20.748
396,1,2,1,0,4,1,10.096
397,1,2,1,0,3,6,24.017
398,1,2,1,0,9,6,32.244
399,1,2,1,0,4,5,15.566
400,1,2,1,0,3,2,12.899
401,1,2,0,0,1,1,3.042
402,1,2,1,0,9,4,31.84
403,1,2,1,0,2,1,3.044
404,1,2,1,0,2,1,3.044
405,1,2,1,0,21,16,78.125
406,1,2,1,0,9,3,21.399
407,1,2,1,0,13,7,33.524
408,1,2,1,0,6,1,12.278
409,1,2,0,1,12,9,40.791
